Name,URL,MRP,In The Box,Brand,Model Name,Type,Capacity in Tons,Star Rating,BEE Rating Year,Color,Series,Cooling Capacity,Compressor,Dehumidification,Remote Control,Refrigerant,Technology Used,Condenser Coil,Indoor W x H x D,Indoor Unit Weight,Outdoor W x H x D,Outdoor Unit Weight,Panel Display,Turbo Mode,Anti-bacteria Filter,Dust Filter,Auto Restart,Sleep Mode,Self Diagnosis,Power Requirement,Power Consumption,Night Glow Buttons on Remote,,,,,,,,,,,,,,,,,,
"Whirlpool 1.5 Ton 3 Star Split Inverter AC  - White  (1.5T MAGICOOL PRO + 3S COPR INV, Copper Condenser)",https://www.flipkart.com/whirlpool-1-5-ton-3-star-split-inverter-ac-white/p/itma7e123d23281c?pid=ACNFE7HB9UYDABUZ&lid=LSTACNFE7HB9UYDABUZWZUBRA&marketplace=FLIPKART&srno=b_1_6&otracker=browse&fm=organic&iid=9caa1db4-deba-4aec-84c7-43a3876d3293.ACNFE7HB9UYDABUZ.SEARCH&ssid=tfe0pmzr280000001585503399736,53420,"1 Indoor Unit, 1 Outdoor Unit, User Manual, Remote, Installation Pipe and Wire",Whirlpool,1.5T MAGICOOL PRO + 3S COPR INV,Split,1.5 Ton,3 Star BEE Rating,2019,White,Magicool Pro Plus,5320 W,Rotary,Yes,Yes,R32,Intellisense Inverter,Copper,100 cm x 29.5 cm x 23 cm,11 kg,78 cm x 55.7 cm x 24.1 cm,30 kg,Hidden,Yes,No,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",1660 W,Yes,,,,,,,,,,,,,,,,,,
Name,URL,MRP,In The Box,Brand,Model Name,Type,Capacity in Tons,Star Rating,BEE Rating Year,Color,Series,Cooling Capacity,Compressor,Dehumidification,Remote Control,Refrigerant,Technology Used,Condenser Coil,Indoor W x H x D,Indoor Unit Weight,Outdoor W x H x D,Outdoor Unit Weight,Panel Display,Turbo Mode,ISEER,Anti-bacteria Filter,Dust Filter,Auto Restart,Sleep Mode,Self Diagnosis,Power Requirement,Power Consumption,Night Glow Buttons on Remote,,,,,,,,,,,,,,,,,
"Whirlpool 1.5 Ton 5 Star Split Inverter AC  - White  (1.5T Magicool Pro 5S COPR INV, Copper Condenser)",https://www.flipkart.com/whirlpool-1-5-ton-5-star-split-inverter-ac-white/p/itmf8fb8a675505d?pid=ACNFE6K2BXFY6EKX&lid=LSTACNFE6K2BXFY6EKXYAWGJK&marketplace=FLIPKART&spotlightTagId=BestsellerId_j9e%2Fabm%2Fc54&srno=b_1_7&otracker=browse&fm=organic&iid=9caa1db4-deba-4aec-84c7-43a3876d3293.ACNFE6K2BXFY6EKX.SEARCH&ssid=tfe0pmzr280000001585503399736,64400,"1 Indoor Unit, 1 Outdoor Unit, User Manual, Remote, Installation Pipe and Wire",Whirlpool,1.5T Magicool Pro 5S COPR INV,Split,1.5 Ton,5 Star BEE Rating,2019,White,Magicool Pro,5175 W,Rotary,Yes,Yes,R32,Intellisense Inverter,Copper,80 cm x 29.5 cm x 23 cm,9.3 kg,78 cm x 55.7 cm x 24.1 cm,31 kg,Hidden,Yes,4.75 W/W,No,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",1365 W,Yes,,,,,,,,,,,,,,,,,
Name,URL,MRP,In The Box,Brand,Model Name,Type,Capacity in Tons,Star Rating,BEE Rating Year,Color,Cooling and Heating,Cooling Capacity,Compressor,Dehumidification,Remote Control,Condenser Coil,Indoor W x H x D,Indoor Unit Weight,Outdoor W x H x D,Outdoor Unit Weight,Panel Display,Indoor Temperature Indicator,Cooling Coverage Area,Turbo Mode,Evaporator Fin Type,Condenser Fin Type,Stepped Louvers,Auto Air Swing,Anti-bacteria Filter,Dust Filter,Active Carbon Filter,Auto Restart,Child Lock,Sleep Mode,Memory Feature,Self Diagnosis,Additional Features,Power Requirement,Power Consumption,,,,,,,,,,,
"MarQ by Flipkart 1.5 Ton 5 Star Split Dual Inverter AC  - White  (FKAC155SIAEXT, Copper Condenser)",https://www.flipkart.com/marq-flipkart-1-5-ton-5-star-split-dual-inverter-ac-white/p/itm90c20527fbc89?pid=ACNFDVBBPGJDHSHH&lid=LSTACNFDVBBPGJDHSHHPGKP4T&marketplace=FLIPKART&srno=b_1_8&otracker=browse&fm=organic&iid=9caa1db4-deba-4aec-84c7-43a3876d3293.ACNFDVBBPGJDHSHH.SEARCH&ssid=tfe0pmzr280000001585503399736,56999,"1 Indoor Unit, 1 Outdoor Unit, Remote Control, Installation Plates, Wiring and Screws Set, User Manual",MarQ by Flipkart,FKAC155SIAEXT,Split,1.5 Ton,5 Star BEE Rating,2020,White,No,5200 W,Twin Rotary Compressor,Yes,Yes,Copper,101 cm x 31.5 cm x 22 cm,13 kg,85.3 cm x 60.2 cm x 34.9 cm,31 Kg,Yes,Yes,Upto 100 - 150 sq ft sq ft,Yes,Hydrophilic Aluminum,Hydrophobic Aluminium,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"Golden Fin Evaporator, Sleek Design with Hidden Display, Cools at Even 60 DegreeC, Dual Inverter Technology, Turbo Cross Flow Fan, Grooved Copper Tubes, 165 - 265 V Surge Protection, Noise Free Operation","AC 230 V, 50 Hz",1385 W,,,,,,,,,,,
Name,URL,MRP,In The Box,Brand,Model Name,Type,Capacity in Tons,Star Rating,BEE Rating Year,Color,Cooling Capacity,Compressor,Dehumidification,Remote Control,Condenser Coil,Indoor W x H x D,Indoor Unit Weight,Outdoor W x H x D,Outdoor Unit Weight,Anti-bacteria Filter,Dust Filter,Auto Restart,Power Requirement,Power Consumption,,,,,,,,,,,,,,,,,,,,,,,,,,
"Blue Star 1.2 Ton 3 Star Split Inverter AC  - White  (IC315AATU, Copper Condenser)",https://www.flipkart.com/blue-star-1-2-ton-3-split-inverter-ac-white/p/itmfffv2zxgjpkg5?pid=ACNFFFV2RPUS8V2H&lid=LSTACNFFFV2RPUS8V2HW2RQ3X&marketplace=FLIPKART&srno=b_1_9&otracker=browse&fm=organic&iid=9caa1db4-deba-4aec-84c7-43a3876d3293.ACNFFFV2RPUS8V2H.SEARCH&ssid=tfe0pmzr280000001585503399736,50000,"1 Indoor Unit, 1 Outdoor Unit, Installation Kit, Manual, Remote and Warranty Card",Blue Star,IC315AATU,Split,1.2 Ton,3 Star BEE Rating,2019,White,4160 W,Rotary,Yes,Yes,Copper,79 cm x 29.5 cm x 19 cm,9.7 kg,72 cm x 27 cm x 49.5 cm,22.1 kg,No,Yes,Yes,"AC 230 V, 50 Hz",1440 W,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,URL,MRP,In The Box,Brand,Model Name,Type,Capacity in Tons,Star Rating,BEE Rating Year,Color,Cooling Capacity,Compressor,Dehumidification,Remote Control,Condenser Coil,Indoor W x H x D,Indoor Unit Weight,Outdoor W x H x D,Outdoor Unit Weight,ISEER,Anti-bacteria Filter,Dust Filter,Auto Restart,Power Requirement,Power Consumption,,,,,,,,,,,,,,,,,,,,,,,,,
"Samsung 1.5 Ton 3 Star Split Triple Inverter Dura Series AC  - White  (AR18TV3HMWKNNA/AR18TV3HMWKXNA, Alloy Condenser)",https://www.flipkart.com/samsung-1-5-ton-3-star-split-triple-inverter-dura-series-ac-white/p/itm0cbd3ae6c6f70?pid=ACNFZ54YDNYGCMVY&lid=LSTACNFZ54YDNYGCMVYIZJFPH&marketplace=FLIPKART&srno=b_1_10&otracker=browse&fm=organic&iid=9caa1db4-deba-4aec-84c7-43a3876d3293.ACNFZ54YDNYGCMVY.SEARCH&ssid=tfe0pmzr280000001585503399736,53990,1 Indoor Unit1 Outdoor UnitRemoteUser Manual,Samsung,AR18TV3HMWKNNA/AR18TV3HMWKXNA,Split,1.5 Ton,3 Star BEE Rating,2020,White,5000 W,8 Pole Digital Inverter,Yes,Yes,Alloy,89 cm x 28.5 cm x 25.1 cm,10 kg,72 cm x 54.8 cm x 26.5 cm,28 kg,3.61 W/W,Yes,Yes,Yes,AC 230 V,1740 W,,,,,,,,,,,,,,,,,,,,,,,,,
