Name,URL,MRP,Brand,Model Number,Series,Model Name,SLR Variant,Brand Color,Type,Color,Effective Pixels,Shooting Modes,Tripod Socket,Wifi,Face Detection,Temperature,Image Processor,Ports,Accessory Shoe,Sensor Type,Image Sensor Size,ISO Rating,Other Sensor Features,Lens Construction,Focal Length,Maximum Aperture,Digital Zoom,Lens Type,Lens Mount,Dust Reduction,Compatible Lens,Other Lens Features,View Finder,View Finder Type,Viewfinder Coverage,Viewfinder Magnification,Viewpoint Dioptric Adjustment,Viewfinder Eye Point,Focus Range,Metering Modes,Auto Focus,Focus Points,White Balancing,Scene Modes,Other Focus Features,AE Lock/Exposure Lock,Exposure Compensation,Exposure Bracketing,Manual Exposure,Shutter Speed,Release Modes,Self-timer,Image Stablizer,Shutter Type,Other Shutter Features,Built-in Flash,Flash Modes,Flash Compensation,Other Flash Features,Image Format,Aspect Ratio,Wide Angle,Red Eye Reduction,HDR Support,Video Resolution,Video Quality,Video Format,Other Video Features,Microphone,Speaker,Display Type,Display Size,Touch Screen,Compatible Card,Power Requirement,Batteries Included,Battery Type,Number of Batteries,Other Power Features,Other Features,Width,Height,Depth,Weight
Sony Alpha ILCE-6400L Mirrorless Camera with 16-50mm Power Zoom Lens  (Black),https://www.flipkart.com/sony-alpha-ilce-6400l-mirrorless-camera-16-50mm-power-zoom-lens/p/itmfdkf7bzchnwgy?pid=DLLFDJ9DFXVAZDTS&lid=LSTDLLFDJ9DFXVAZDTSIRESGI&marketplace=FLIPKART&srno=s_1_16&otracker=search&fm=organic&iid=3886f55f-56e6-4690-8f2c-be8165f2c9e3.DLLFDJ9DFXVAZDTS.SEARCH&ssid=bytk426eyo0000001585306585335&qH=ac7edfe844c3c5f1,85990,Sony,ILCE-6400L,Alpha,Alpha a6400,with 16-50mm Power Zoom Lens,Black,Mirrorless,Black,24.2 MP,"Manual, Auto",Yes,Yes,Yes,32 to 104Â°F,BIONZ X Image Processor,"USB 2.0 Micro-B, HDMI D (Micro) Port, Microphone Port, Wired Remote Port",Yes,CMOS,23.5 x 15.6 mm,100 to 32000,Type-CMOS,9 Elements in 8 Groups,16 to 50mm,f/3.5 to 5.6,"Smart zoom (Still images): M: Approx. 1.4x, S: Approx. 2x, Digital zoom (Still images): L: Approx. 4x, M: Approx. 5.7x, S: Approx. 8x, Digital zoom (Movie): Approx. 4x",Sony E,Sony E,Yes,Sony E Mount,"Angle of View - 83° to 32°, Diaphragm Blades- 7, Rounded, Minimum Focus Distance	-9.84 Inch / 25 cm, Maximum Reproduction Ratio - 1:4.7, Format Compatibility	APS-C, Magnification - 0.215x",Yes,Electronic,100%,Approx. 1.07x,-4.0 to +3.0 m,23 mm,EV -2 to EV 20,"Multi-segment, Centre-weighted, Spot, Spot Standard/Large, Entire Screen Avg., Highlight",Yes,425 points (phase-detection AF)/425 points (contrast-detection AF),"Auto, Cloudy, Color Temperature, Color Temperature Filter, Custom, Daylight, Flash, Fluorescent (Cool White), Fluorescent (Day White), Fluorescent (Daylight), Fluorescent (Warm White), Incandescent, Shade, Underwater","Portrait, Sports Action, Macro, Landscape, Sunset, Night Scene, Hand-held Twilight, Night Portrait, Anti Motion Blur","Autofocus Points	Phase Detection: 425 Contrast Detection: 425",Locked when shutter button is pressed halfway. Available with AE lock button. (On/Off/Auto),"-5 EV to +5 EV (in 1/3, 1/2 EV Steps)","3 frames, H/L selectable",Yes,1/4000 sec,"focal-plane type, Electronically-controlled, vertical-traverse",Yes,None,"Electronic, Mechanical","FLASH SYNC. SPEED-1/160 sec, ELECTRONIC FRONT CURTAIN-Yes, SILENT SHOOTING-Yes (ON/OFF)",Yes,"Fill-In, Hi-Speed Sync, Red-Eye Reduction, Rear Sync, Slow Sync, Auto, Off, Wireless",-3 EV to +3 EV (in 1/3 or 1/2 EV steps),"External Flash Connection	Hot Shoe, Wireless, Dedicated Flash System - TTL, Guide No.- 19.69' / 6 m ISO100, Max Sync Speed-1 / 160 Second",JPEG,"3:2, 16:9",Yes,Yes,Yes,1920 x 1080,NTSC/PAL,"1920 x 1080p at 24/25/30/50/60 fps, 1920 x 1080p at 100/120 fps, 1920 x 1080p at 25/30 fps, 1920 x 1080i at 50/60 fps, 3840 x 2160p at 24/25/30 fps, 1920 x 1080p at 50/60 fps",Aspect Ratio-16:9,Built-In Mic: With Video (Stereo),"Built-in, monaural",LCD,3 inch,Yes,SD Card,7.2 VDC,Yes,Lithium-Ion Battery,1,"1 x NP-FW50 Rechargeable Lithium-Ion Battery Pack, 7.2 VDC, 1080 mAh, AC Power Adapter-AC-UUE12","Remote Control- RMT-DSLR2 (Optional), Autofocus - Yes, Image Stabilization - Yes",120 mm,66.9 mm,59.7 mm,520 g
Name,URL,MRP,Brand,Model Number,Model Name,SLR Variant,Brand Color,Type,Color,Effective Pixels,Shooting Modes,Tripod Socket,Wifi,Sensor Type,Image Sensor Size,ISO Rating,Focal Length,Digital Zoom,Lens Mount,Dust Reduction,Compatible Lens,View Finder,View Finder Type,Focus Mode,Focus Range,Focus Points,Exposure Mode,Shutter Speed,Self-timer,Continuous Shots,Image Format,Aspect Ratio,Video Resolution,Video Quality,Display Type,Display Size,Touch Screen,Compatible Card,Power Requirement,Batteries Included,Battery Type,Other Features,Width,Height,Depth,Weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canon EOS 77D DSLR Camera Body with Single Lens: EF-S18-135 IS USM (16 GB SD Card + Camera Bag)  (Black),https://www.flipkart.com/canon-eos-77d-dslr-camera-body-single-lens-ef-s18-135-usm-16-gb-sd-card-bag/p/itmes6eeubczzzsn?pid=DLLES6EEJEEXTMNX&lid=LSTDLLES6EEJEEXTMNXVJK0TM&marketplace=FLIPKART&srno=s_1_17&otracker=search&fm=organic&iid=3886f55f-56e6-4690-8f2c-be8165f2c9e3.DLLES6EEJEEXTMNX.SEARCH&ssid=bytk426eyo0000001585306585335&qH=ac7edfe844c3c5f1,86495,Canon,EOS 77D,EOS 77D,Body with Single Lens: EF-S18-135 IS USM (16 GB SD Card + Camera Bag),Black,DSLR,Black,24.2 MP,"Creative Zone Modes: Program AE, Shutter-priority AE, Aperture-priority AE, Manual Exposure, Basic Zone modes: Scene Intelligent Auto, Flash Off, Creative Auto, Portrait, Landscape, Close-up, Sports, Special Scene Modes (Group Photo, Kids, Food, Candlelight, Night Portrait, Handheld Night Scene, HDR Backlight Control), Creative filters (Grainy B/W, Soft focus, Fish-eye effect, Water Painting Effect, Toy Camera Effect, Miniature Effect, HDR Art Standard, HDR Art Vivid, HDR Art Bold, HDR Art Embossed)",Yes,Yes,CMOS,22.3 x 14.9,"100-25,600 (Max to 51,200)",1.6x,Approx. 3x - 10x,Canon EF Mount,Yes,"Canon EF lenses (including EF-S lenses), Excluding EF-M Lenses (35mm-equivalent Angle of View is that of a Lens with Approx 1.6x the Focal Length Indicated.)",Yes,Eye Level Pentamirror,"Fixed, Precision Matte","Focusing Brightness Range (EV -3 - 18 (with the Center AF Point Supporting f/2.8, One-shot AF, at Room Temperature, ISO 100))",45-Point+Dual Pixel CMOS AF,Automatic,1/4000 sec,Yes,6fps shooting,"JPEG, RAW","3:2, 1:1, 16:9, 4:3",6000 x 4000,1080p at 60p + Time-Lapse,TFT,3 inch,Yes,SD Card,"Rated Voltage: 7.2 V DC, Battery Capacity: 1040 mAh",Yes,Rechargeable Lithium-ion,Weight: 540 g (Including Battery and Card),131 mm,99.9 mm,76.2 mm,493 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,URL,MRP,Brand,Model Number,Model Name,SLR Variant,Brand Color,Type,Color,Effective Pixels,Shooting Modes,Tripod Socket,Wifi,Sensor Type,Image Sensor Size,Focal Length,Optical Zoom,Lens Mount,Dust Reduction,Manual Focus,Focus Range,Metering Modes,Auto Focus,White Balancing,Shutter Speed,Self-timer,Image Stablizer,Other Shutter Features,Built-in Flash,Flash Modes,Image Format,Video Resolution,Video Quality,Video Format,Display Type,Display Size,Display Resolution,Touch Screen,Compatible Card,Battery Type,Other Power Features,Other Features,Width,Height,Depth,Weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canon EOS M200 Mirrorless Camera Body with Dual Lens 15-45 and 55-200 mm  (Black),https://www.flipkart.com/canon-eos-m200-mirrorless-camera-body-dual-lens-15-45-55-200-mm/p/itmff062dccee01f?pid=DLLFKMK9YGSFPPQM&lid=LSTDLLFKMK9YGSFPPQMPKWCQU&marketplace=FLIPKART&spotlightTagId=BestvalueId_jek%2Fp31&srno=s_1_18&otracker=search&fm=organic&iid=3886f55f-56e6-4690-8f2c-be8165f2c9e3.DLLFKMK9YGSFPPQM.SEARCH&ssid=bytk426eyo0000001585306585335&qH=ac7edfe844c3c5f1,57995,Canon,EOS M200,EOS M200,Body with Dual Lens 15-45 and 55-200 mm,Black,Mirrorless,Black,24.1 MP,"Scene Intelligent Auto, Hybrid Auto, Special Scene (Self Portrait, Portrait, Smooth Skin, Landscape, Sports, Close-up, Food, Night Portrait, Handheld Night Scene, HDR Backlight Control, Silent Mode), Creative Filters (Grainy B/W, Soft Focus, Fish-eye Effect, Water Painting Effect, Toy Camera Effect, Miniature Effect, HDR Art Standard, HDR Art Vivid, HDR Art Bold, HDR Art Embossed), Program AE, Shutter-priority AE, Aperture-priority AE, Manual Exposure, Movie (Movie Auto Exposure, Movie Manual Exposure)",Yes,Yes,CMOS,22.3 x 14.9,24 - 72,3x,Canon EF-M,No,Yes,25,"Still Photo Shooting: Evaluative Metering, Partial Metering, Spot Metering, Center-weighted Average Metering Movie Recording: Evaluative Metering (When Faces are Detected with Face+Tracking AF), Center-weighted Average Metering (When No Faces are Detected)",Yes,"Auto (Ambience Priority), Auto (White Priority), Preset (Daylight, Shade, Cloudy, Tungsten Light, White Fluorescent Light, Flash), Custom White Balance Correction, Color Temperature",1/4000 - 30 sec,Yes,Lens-shift Type and In-body 3-axis Electronic Image Stabilisation,"Silent Shutter: Available: Special Scene Mode, Silent Mode",Yes,"E-TTL II Autoflash, FE Lock, Manual Flash (On/Off)","JPEG, RAW, RAW + JPEG, C-RAW, C-RAW+JPEG",3840 x 2160,4K,MP4,LCD,3 inch,1040000 dots,Yes,SD Card,Rechargeable Lithium-ion,Optional Power: AC Power (Compact Power Adapter CA-PS700 and DC Coupler DR-E12),"Memory Card Type: SDHC, SDXC, UHS-I Cards Compatible, AF Modes: Stills: Face+Tracking AF, Zone AF, 1-point AF, Spot AF Movie: Face+Tracking AF, Zone AF, 1-point AF, Spot AF Unavailable When Recording 4K or 4K Time-lapse Movies, AF System Points: Up to 143 AF Areas (Auto Selection), Continuous Shooting Speed (Shots Per Sec) (Up to): 6.1 (One-Shot AF), 4 (Servo AF), Drive System: Stepping Motor-driven Lead Screw + Rack System, Effective ISO: 100-25600 (H:51200), Eye Detection AF: Available: One-Shot AF, Servo AF, Movie Servo AF, Guide Number ISO 100 Metres: 5, Image Resolution: 6000 x 4000 (L) 3984 x 2656 (M) 2976 x 1984 (S1) 2400 x 1600 (S2) 6000 x 4000 (RAW and C-RAW), Peripheral Connections: Hi-Speed USB (USB Micro-B), HDMI (Type D), Processor Type: DIGIC 8, Standard Power Supply: LP-E12, X-sync (sec): 1/200",108.2 mm,67.1 cm,35.1 mm,429 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,URL,MRP,Brand,Model Number,Model Name,SLR Variant,Brand Color,Type,Color,Effective Pixels,Shooting Modes,Tripod Socket,Wifi,Sensor Type,Image Sensor Size,Lens Mount,Dust Reduction,Manual Focus,View Finder Type,Viewfinder Coverage,Metering Modes,Auto Focus,White Balancing,Other Focus Features,Shutter Speed,Self-timer,Image Stablizer,Continuous Shots,Other Shutter Features,Built-in Flash,Flash Modes,Image Format,Other Image Features,Video Resolution,Video Quality,Video Format,Display Type,Display Size,Display Resolution,Touch Screen,Compatible Card,Battery Type,Other Power Features,Other Features,Width,Height,Depth,Weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canon EOS 90D DSLR Camera Body with Single Lens 18 - 55 mm IS STM  (Black),https://www.flipkart.com/canon-eos-90d-dslr-camera-body-single-lens-18-55-mm-stm/p/itmc94182bc5f31c?pid=DLLFK5RRPVMECXCH&lid=LSTDLLFK5RRPVMECXCHO1V73K&marketplace=FLIPKART&srno=s_1_19&otracker=search&fm=organic&iid=3886f55f-56e6-4690-8f2c-be8165f2c9e3.DLLFK5RRPVMECXCH.SEARCH&ssid=bytk426eyo0000001585306585335&qH=ac7edfe844c3c5f1,103495,Canon,EOS 90D,90D,Body with Single Lens 18 - 55 mm IS STM,Black,DSLR,Black,32.5 MP,"Scene Intelligent Auto, Special Scene Modes (Portrait, Group Photo, Landscape, Sports, Kids, Panning, Close-up, Food, Candlelight, Night Portrait, Handheld Night Scene, HDR Backlight Control), Creative Filters (Grainy B/W, Soft Focus, Fish-eye Effect, Water Painting Effect, Toy Camera Effect, Miniature Effect, HDR Art Standard, HDR Art Vivid, HDR Art Bold, HDR Art Embossed), Program AE, Shutter-priority AE, Aperture-priority AE, Manual Exposure, Bulb, Custom Mode 1, Custom Mode 2",Yes,Yes,CMOS,22.3 x 14.8,Canon EF-S,Yes,Yes,Eye-level Pentaprism,100%,"Evaluative, Partial, Spot, Centre-weighted Average",Yes,"Auto (Ambience Priority), Auto (White Priority), Preset (Daylight, Shade, Cloudy, Tungsten Light, White Fluorescent Light, Flash), Custom White Balance Correction, Color Temperature White Balance Bracketing Provided, Flash Color Temperature Information Transmission Possible","AF System Points: OVF: 45 AF Points, Live View: 5,481 Selectable Focus Positions",1/8000 - 30 sec,Yes,In-body 5-axis Electronic Image Stabilisation,"OVF: 10 fps (One-Shot AF and AI Servo AF), Live View: 11 fps (One-Shot AF), 7 fps (Servo AF)",Silent Shutter: Yes (Live View),Yes,"E-TTL II Autoflash, FE Lock, Manual Pop-up, Retractable","JPEG, RAW, C-RAW, RAW + JPEG, C-RAW + JPEG","Image Resolution: 6960 x 4640 (L), 4800 x 3200 (M), 3472 x 2320 (S1), 2400 x 1600 (S2), 6960 x 4640 (RAW/C-RAW)",3840 x 2160,4K,MP4,LCD,3 inch,1040000 dots,Yes,SDHC,LP-E6N Rechargeable Lithium-ion,"AC Power (AC Adapter AC-E6N and DC Coupler DR-E6) BG-E14 (With BGM-E14L or BGM-E14A), Standard Power Supply: Battery Pack LP-E6/LP-E6N","Memory Card Type: SD, UHS-I Cards Compatible, Live View: 30 - 1/16000, (1/16000-1/10000, Electronic Shutter), Bulb, Peripheral Connections: Hi-Speed USB, HDMI (Type C), Microphone, Headphone, Remote, Processor Type: DIGIC 8, X-sync (sec): 1/250, Effective ISO: 100 - 25600 (H:51200), Guide Number ISO 100 Metres: 12/39.4",140.7 mm,104.8 mm,76.8 mm,701 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,URL,MRP,Brand,Model Number,Model Name,SLR Variant,Brand Color,Type,Color,Effective Pixels,Tripod Socket,Wifi,Temperature,Ports,Accessory Shoe,Sensor Type,ISO Rating,Lens Construction,Maximum Aperture,Lens Type,Lens Mount,Dust Reduction,Compatible Lens,Manual Focus,View Finder,View Finder Type,Metering Modes,Auto Focus,Focus Points,White Balancing,Scene Modes,Exposure Mode,Exposure Compensation,Shutter Speed,Release Modes,Self-timer,Continuous Shots,Built-in Flash,Flash Modes,Flash Compensation,Other Flash Features,Image Size,Image Format,Wide Angle,Red Eye Reduction,Video Resolution,Video Quality,Video Format,Microphone,Other Audio Features,Display Type,Touch Screen,Compatible Card,Batteries Included,Battery Type,Other Power Features,Weight,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikon D5600 DSLR Camera Body with Single Lens: AF-P DX Nikkor 18-55 MM F/3.5-5.6G VR (16 GB SD Card)  (Black),https://www.flipkart.com/nikon-d5600-dslr-camera-body-single-lens-af-p-dx-nikkor-18-55-mm-f-3-5-5-6g-vr-16-gb-sd-card/p/itmezvbdzefvjpfn?pid=DLLEZVBDX4KUFYPE&lid=LSTDLLEZVBDX4KUFYPEG8XJWK&marketplace=FLIPKART&srno=s_1_20&otracker=search&fm=organic&iid=3886f55f-56e6-4690-8f2c-be8165f2c9e3.DLLEZVBDX4KUFYPE.SEARCH&ssid=bytk426eyo0000001585306585335&qH=ac7edfe844c3c5f1,51450,Nikon,D5600,D5600,Body with Single Lens: AF-P DX Nikkor 18-55 MM F/3.5-5.6G VR (16 GB SD Card),Black,DSLR,Black,24.2 MP,Yes,No,0DegreeC - 40DegreeC,"Hi-Speed USB with Micro USB Connector, Type C HDMI Connector",ISO 518 Hot Shoe with Sync and Data Contacts and Safety Lock,CMOS,"100 - 25,600",D-Zoom Kit: AF-P DX Nikkor 18 - 55 mm f/3.5-5.6G VR + AF-P DX Nikkor 70 - 300 mm f/4.5-6.3G ED VR,F/5.6,Aoto Focus-S 18-140 mm VR Kit Lens,Nikon F Mount,Yes,Nikkor Lens,Yes,Yes,Eye Level Pentamirror Single Lens Reflex Viewfinder,"Matrix Metering: 3D Color Matrix Metering 2 (type G, E, and D Lenses), Color Matrix Metering 2 (other CPU Lenses) Center-weighted Metering - Weight of 75% Given to 8 mm Circle in Center of Frame Spot Metering - Meters 3.5 mm Circle (about 2.5% of Frame) Centered on Selected Focus Point",Yes,4800DX 39-Point AF Sensor,"Auto, Incandescent, Fluorescent (7 Types), Direct Sunlight, Flash, Cloudy, Shade, Preset Manual, All Except Preset Manual with Fine-tuning",Auto and Auto Flash Off Modes,Automatic,"-5 to +5 EV in Steps of 1/3 or 1/2 EV in P, S, A, M, Scene, Night Vision Modes",1/4000 - 30 sec,Yes,Yes,5fps shooting,Yes,"Auto, Auto with Red-eye Reduction, Auto Slow Sync, Auto Slow Sync with Red-eye Reduction, Fll-flash, Red-eye Reduction, Slow Sync, Slow Sync with Red-eye Reduction, Rear-curtain with Slow Sync, Rear-curtain Sync, Off","-3 to +1 EV in Steps of 1/3 or 1/2 EV in P, S, A, M, and Scene Modes","Auto, Portrait, Child, Close Up, Night Portrait, Party / Indoor, Pet Portrait, Super Vivid, Pop, Photo Illustration, Toy Camera Effect, Auto Flash with Auto Pop-up P, S, A, M, Food, Manual Pop-up with Button Release","(L) 6000 x 4000, (M) 4496 x 3000, (S) 2992 x 2000","JPEG, JPEG RAW",Yes,Yes,1920 x 1080,1080p recording at 30p,H.264/MPEG-4 Advanced Video Coding,Yes,Linear PCM,TFT LCD,Yes,SD Card,Yes,Rechargeable Li-ion,AC Adapter EH-5b,465 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,URL,MRP,Brand,Model Number,Model Name,SLR Variant,Brand Color,Type,Color,Effective Pixels,Tripod Socket,Wifi,Temperature,Accessory Shoe,Sensor Type,Image Sensor Size,ISO Rating,Other Sensor Features,Lens Type,Lens Mount,Dust Reduction,Manual Focus,Other Lens Features,View Finder,Viewfinder Magnification,Other Viewfinder Features,Focus Mode,Metering Modes,Auto Focus,Focus Points,White Balancing,Other Focus Features,AE Lock/Exposure Lock,Other Exposure Features,Shutter Speed,Shutter Steps,Self-timer,Continuous Shots,Shutter Type,Other Shutter Features,Built-in Flash,Flash Compensation,Other Flash Features,Image Format,Red Eye Reduction,Other Image Features,Video Resolution,Video Quality,Other Video Features,Microphone,Other Audio Features,Display Type,Display Size,Touch Screen,Other Display Features,Compatible Card,Batteries Included,Battery Type,Other Power Features,Other Features,Width,Height,Depth,Weight,Other Dimensions,,,,,,,,,,,,,,,,,,,
Nikon D3500 DSLR Camera Body with Dual lens: 18-55 mm f/3.5-5.6 G VR and AF-P DX Nikkor 70-300 mm f/4.5-6.3G ED VR  (Black),https://www.flipkart.com/nikon-d3500-dslr-camera-body-dual-lens-18-55-mm-f-3-5-5-6-g-vr-af-p-dx-nikkor-70-300-f-4-5-6-3g-ed/p/itm9ce1c5462cbb6?pid=DLLF96HY7UE94ZWH&lid=LSTDLLF96HY7UE94ZWHU8N4K5&marketplace=FLIPKART&srno=s_1_21&otracker=search&fm=organic&iid=3886f55f-56e6-4690-8f2c-be8165f2c9e3.DLLF96HY7UE94ZWH.SEARCH&ssid=bytk426eyo0000001585306585335&qH=ac7edfe844c3c5f1,49950,Nikon,D3500,D3500,Body with Dual lens: 18-55 mm f/3.5-5.6 G VR and AF-P DX Nikkor 70-300 mm f/4.5-6.3G ED VR,Black,DSLR,Black,24.2 MP,Yes,No,Operating Temperature: 0 to 40,ISO 518 Hot-shoe with Sync and Data Contacts and Safety Lock,CMOS,23.5 x 15.6,"100 - 25,600",Image Sensor Format: DX,Single-lens Reflex Digital Camera,Nikon F Mount (with AF Contacts),Yes,Yes,"Reflex Mirror: Quick Return, Lens Aperture: Instant Return, Electronically Controlled, Lens Servo: Single-servo AF (AF-S), Continuous-servo AF (AF-C), Auto AF-S/AF-C Selection (AF-A), Predictive Focus Tracking Activated Automatically According to Subject Status Manual Focus (MF): Electronic Rangefinder Can be used, Mode: Auto, Auto with Red-eye Reduction, Auto Slow Sync, Auto Slow Sync with Red-eye Reduction, Fill-flash, Red-eye Reduction, Slow Sync, Slow Sync with Red-eye Reduction, Rear-curtain with Slow Sync, Rear-curtain Sync, Off, Lens Servo: Autofocus (AF) - Single-servo AF (AF-S), Full-time-servo AF (AF-F) Manual Focus (MF), Frame size (pixels) and Frame Rate: 1920 x 1080, 60 p (Progressive), 50 p, 30 p, 25 p, 24 p 1280 x 720, 60 p, 50 p Actual Frame Rates for 60 p, 50 p, 30 p, 25 p, and 24 p are 59.94, 50, 29.97, 25, and 23.976 fps Respectively, Options Support Both High and Normal Image Quality",Yes,"Approx 0.85 x (50 mm f/1.4 Lens at Infinity, -1.0 m)","Viewfinder Type: Eye-level Pentamirror Single-lens Reflex Viewfinder, Eyepoint: 18 mm (-1.0 m, From Center Surface of Viewfinder Eyepiece Lens)","Autofocus (AF): Single-servo AF (AF-S), Full-time-servo AF (AF-F) Manual Focus (MF)",Matrix,Yes,1000 11-Point AF System,"Modes: Auto, Incandescent, Fluorescent (7 Types), Direct Sunlight, Flash, Cloudy, Shade, Preset Manual, All Except Preset Manual with Fine-tuning","Frame Coverage: Approx 95% Horizontal and 95% Vertical, Focusing Screen: Type B BriteView Clear Matte Mark VII Screen, Autofocus Support: Autofocus is Available with AF-P and Type E and G AF-S Lenses, Range: (ISO 100, f/1.4 Lens, 20 DegreeC) Matrix or Center-weighted Metering - 0 to 20 EV Spot Metering - 2 to 20 EV, Autofocus System: Nikon Multi-CAM 1000 Autofocus Sensor Module with TTL Phase Detection, 11 Focus Points (Including One Cross-type Sensor), and AF-assist Illuminator (Range Approx 0.5 to 3 m), Detection Range: - 1 to + 19 EV (ISO 100, 20 DegreeC), Focus Point: 11 Can be Selected from 11 Focus Points, AF-area Mode: Single-point AF, Dynamic-area AF, Auto-area AF, 3D-tracking (11 Points), Focus Lock: Focus Can be Locked by Pressing Shutter-release Button Halfway (Single-servo AF) or by Pressing AE-L/AF-L Button, AF-area Mode: Face-priority AF, Wide-area AF, Normal-area AF, Subject-tracking AF, Autofocus: Contrast-detect AF Anywhere in Frame",Exposure Lock,"Auto Modes (Auto, Flash off), Programmed Auto with Flexible Program (P), Shutter-Priority Auto (S); Aperture-priority Auto (A), Manual (M), Metering Method: Matrix Metering - 3D Color Matrix Metering II Center-weighted Metering: Weight of 75% given to 8 mm Circle in Center of Frame Spot Metering: Meters 3.5 mm Circle (About 2.5% of Frame) Centered on Selected Focus Point, Exposure Meter Coupling: CPU, Exposure Compensation: Can be Adjusted by -5 to +5 EV in Increments of 1/3 EV in P, S, A, M, Scene, and Night Vision Modes, ISO Sensitivity (Recommended Exposure Index): ISO 100 to 25600 in steps of 1 EV Auto ISO Sensitivity Control Available",1/4000 - 30 sec,"Metering System: TTL Exposure Metering Using 420-Pixel RGB Sensor, Metering Method: Matrix Metering: 3D Color Matrix Metering II Center-Weighted Metering: Weight of 75% Given to 8-mm Circle in Center of Frame, Spot Metering: Meters 3.5-mm Circle (About 2.5% of Frame) Centered on Selected Focus Point",Yes,5fps shooting,Electronically-controlled Vertical-travel Focal-plane Shutter,"Shutter Speed: 1/4000 to 30 s in steps of 1/3 EV, Bulb, Time",Yes,"Can be Adjusted by - 3 to + 1 EV in steps of 1/3 EV in P, S, A, M, and Scene Modes","Effective Angle of View: Nikon DX Format, Focal Length Equivalent to Approx 1.5x that of Lenses with FX Format Angle of View, Flash Sync Speed: X=1/200 s, Synchronizes with Shutter at 1/200 s or Slower, Built-in Flash: Auto, Portrait, Close Up, Night Portrait, Super Vivid, Pop, Photo Illustration, Toy Camera Effect: Auto Flash with Auto Pop-up P, S, A, M: Manual Pop-up with Button Release, Flash-ready Indicator: Lights When Built-in Flash or Optional Flash Unit is Fully Charged, Flashes After Flash is Fired at Full Output","NEF (RAW): 12 bit, Compressed JPEG: JPEG-baseline Compliant with Fine (Approx 1:4), Normal (Approx 1:8), or Basic (Approx 1:16) Compression NEF (RAW) + JPEG: Single Photograph Recorded in both NEF (RAW) and JPEG Formats",Yes,Image Size (pixels): (L) 6000 x 4000 (24.0 p) (M) 4496 x 3000 ( 13.5 p) (S) 2992 x 2000 ( 6.0 p),1920 x 1080,1080p recording at 60p,"Picture Control System: Standard, Neutral, Vivid, Monochrome, Portrait, Landscape, Flat, Selected Picture Control Can be Modified, Media: SD, SDHC (UHS-I Compliant), SDXC (UHS-I Compliant), Approximate Frame Advance Rate: Up to 5 fps Note - Frame Rates Assume Manual Focus, Manual or Shutter-priority Auto Exposure, A Shutter Speed of 1/250 s or Faster, and Other Settings at Default Values, Active D-lighting: On, Off, Sync Terminal: AS-15 Sync Terminal Adapter (Available Separately), File Format: MOV, Video Compression: H.264/MPEG-4 Advanced Video Coding",Yes,"Audio Recording Format: Linear PCM, Audio Recording Device: Built-in Monaural Microphone, Sensitivity Adjustable",TFT,3 inch,No,"Monitor Size: 7.5 cm Diagonal, Monitor Type: TFT LCD with 170Degree viewing Angle, Approx 100% Frame Coverage and Brightness Adjustment, Monitor Resolution: Approx 921 k-dot (VGA), Playback: Full-frame and Thumbnail (4, 9, or 72 Images or Calendar) Playback with Playback Zoom, Playback Zoom Cropping, Playback Face Zoom, Movie Playback, Photo and/or Movie Slide Shows, Histogram Display, Highlights, Photo Information, Location Data Display, Auto Image Rotation, Picture Rating, and Image Comment (Up to 36 Characters)",SD Card,Yes,Li-ion,"Maximum Output Power: 1.2 dBm (EIRP), Battery: One EN-EL14a Rechargeable Li-ion Battery, AC Adapter: EH-5c/EH-5b AC Adapter, Requires EP-5A Power Connector (Available Separately), Tripod Socket: 1/4 inch (ISO 1222)","Total Pixels: 24.78 p, Dust-reduction System: Image Dust Off Reference Data (Capture NX-D Software Required), File Format: NEF (RAW): 12 bit, Compressed JPEG: JPEG-baseline Compliant with Fine (Approx 1:4), Normal (Approx 1:8), or Basic (Approx 1:16) Compression NEF (RAW) + JPEG: Single Photograph Recorded in both NEF (RAW) and JPEG Formats, Card Slot: 1 Secure Digital (SD) Card, File System: DCF 2.0, Exif 2.3, PictBridge, Diopter Adjustment: - 1.7 to + 0.5 m, Modes: S (Single Frame), Continuous, QC (Quiet Continuous Shutter-release), Self-timer: 2 s, 5 s, 10 s, 20 s, 1 to 9 Exposures, Modes: Auto Modes (Auto, Flash Off), Programmed Auto with Flexible Program (P), Shutter-priority Auto (S), Aperture-priority Auto (A), Manual (M), Scene Modes (Portrait, Sports, Close Up, Night Portrait), Special Effects Modes (Night Vision, Super Vivid, Pop, Photo Illustration, Toy Camera Effect, Miniature Effect, Selective Color, Silhouette, High Key, Low Key), ISO Sensitivity: ISO 100 to 25600",12.4 cm,9.7 cm,6.95 cm,415 g,Weight: Approx 365 g (Camera Body Only),,,,,,,,,,,,,,,,,,,
